date,merchant,category,amount
2026-03-01,Whole Foods,groceries,142.30
2026-03-05,Local Market,groceries,68.50
2026-03-12,Trader Joes,groceries,95.20
2026-03-18,Whole Foods,groceries,156.80
2026-03-25,Whole Foods,groceries,121.40
2026-03-03,Sushi Place,dining_out,68.40
2026-03-09,Local Cafe,dining_out,18.20
2026-03-14,Steakhouse Splurge,dining_out,182.90
2026-03-22,Pizza Joint,dining_out,32.10
2026-03-04,Subway Pass,transport,127.00
2026-03-15,Lyft,transport,28.50
2026-03-20,Lyft,transport,42.20
2026-03-02,Power Co,utilities,89.00
2026-03-15,Internet Co,utilities,65.00
2026-03-10,Movie Theater,entertainment,32.00
2026-03-22,Concert Tickets,entertainment,180.00
2026-03-01,ClimbingGym,fitness,89.00
2026-03-15,Streaming Service,subscriptions,15.00
2026-03-15,Music Service,subscriptions,11.00
2026-03-15,Cloud Storage,subscriptions,8.00
2026-03-20,Mystery Subscription,subscriptions,29.99
